MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
PASTYPE.,CHAR 7,DIGITAL DATA - OIL ANALYSIS ,pas-oan,"Oil Analysis test, format",~ VERSION,OAN
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,OAN
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,OAN
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,OAN
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,OAN
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,OAN
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,OAN
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"mandatory, must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,OAN
LABCO.,CHAR 60,LABORATORY NAME,,Company name conducting analysis,~ TEST DATA,OAN
LFNUM.,CHAR 25,LABORATORY FILE NUMBER,,Identification number,~ TEST DATA,OAN
TTOPL.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,OAN
TBASL.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,OAN
SDAT.DAY,YYYY MM DD,DATE SAMPLED,must be >= spud date and <= abandoned date and <= submission date,Date sample gathered,~ TEST DATA,OAN
IDENT.,CHAR 12,CONTAINER IDENTITY,,Identification code of container,~ TEST DATA,OAN
SPNT.,NUMB 2,SAMPLE POINT CODE,"mandatory, must be valid aer sample point code (see footnote).",Sample gathering point,~ TEST DATA,OAN
SPNTN.,CHAR 100,SAMPLE POINT NAME,,Laboratories Unique Text Description of Sample Gathering Point,~ TEST DATA,OAN
ADAT.DAY,YYYY MM DD,DATE ANALYZED,must be >= [sdat] (sample date) and <= submission date,Date Sample Analysis,~ TEST DATA,OAN
SPRES.KPAA,"NUMB 8,2",SAMPLE PRESSURE,"optional, can not be zero",Pressure as Sampled (in field) - kPaa,~ TEST DATA,OAN
STEMP.DEGC,"NUMB 5,2",SAMPLE TEMPERATURE,"optional, can be zero",Temperature as Sampled (in field) - DegC,~ TEST DATA,OAN
RPRES.KPAA,"NUMB 8,2",RECEIVED PRESSURE,"optional, can not be zero",Pressure as Received (in Lab) -kPaa,~ TEST DATA,OAN
RTEMP.DEGC,"NUMB 5,2",RECEIVED TEMPERATURE,"optional, can be zero",Temperature as Received (in Lab) - DegC,~ TEST DATA,OAN
DSTLOC.,CHAR 1,DST SAMPLE LOCATION,"if [spnt] (sample point code) = (50) then [dstloc] (dst sample location) must be (t)op, (m)iddle, or (b)ottom. else must be null.",,~ TEST DATA,OAN
OANC.,CHAR 240,COMMENT ON SAMPLE,optional,General Free form Comment (regarding Sample or Analytical Procedures).,~ TEST DATA,OAN
CNAM.,CHAR 40,COLOUR OF CLEAN OIL,optional,"Colour of clean oil, by name",~ OIL SAMPLE PROPERTIES,OAN
CNUM.,CHAR 20,COLOUR NUMBER,optional,"Colour number, by ASTM D-1500",~ OIL SAMPLE PROPERTIES,OAN
BSWW.FRAC,"NUMB 4,3",FRACTION OF WATER,"optional, can be null or zero","Basic sand and water volume fraction, of water",~ OIL SAMPLE PROPERTIES,OAN
BSWS.FRAC,"NUMB 4,3",FRACTION OF SEDIMENT,"optional, can be null or zero","Basic sand and water volume fraction, of sediment",~ OIL SAMPLE PROPERTIES,OAN
BSW.FRAC,"NUMB 4,3",FRACTION OF TOTAL BS&W,"optional, can be null or zero","Basic sand and water volume fraction, total",~ OIL SAMPLE PROPERTIES,OAN
RDNRX.,"NUMB 4,3",RELATIVE DENSITY AS RECEIVED,"optional, can be null or zero",Relative density as received,~ OIL SAMPLE PROPERTIES,OAN
RDNCL.,"NUMB 4,3",RELATIVE DENSITY AFTER CLEANING,"optional, can be null or zero",Relative density after cleaning,~ OIL SAMPLE PROPERTIES,OAN
ADNRX.KG/M3,"NUMB 6,1",ABSOLUTE DENSITY AS RECEIVED,"optional, can be null or zero","Absolute density as received, kg/m3",~ OIL SAMPLE PROPERTIES,OAN
ADNCL.KG/M3,"NUMB 6,1",ABSOLUTE DENSITY AFTER CLEANING,"mandatory, can not be zero","Absolute density after cleaning, kg/m3",~ OIL SAMPLE PROPERTIES,OAN
API.,"NUMB 6,2",API GRAVITY @ 15 DEGC,"optional, can be null or zero",API gravity @ 15 (Degrees Celsius),~ OIL SAMPLE PROPERTIES,OAN
TSUL.FRAC,"NUMB 7,5",TOTAL SULPHUR MASS FRACTION,if [tsul.gm/kg] (total sulphur) is null then [tsul.frac] (total sulphur mass fraction) is mandatory (either must be present). can be zero.,Mass fraction of total sulphur,~ OIL SAMPLE PROPERTIES,OAN
TSUL.GM/KG,"NUMB 7,2",TOTAL SULPHUR,if tsul.frac is null then [tsul.frac] (total sulphur mass fraction) is mandatory (either must be present). can be zero,"Ratio of total sulphur, gm/kg",~ OIL SAMPLE PROPERTIES,OAN
TSALT.KG/M3,"NUMB 7,5",TOTAL SALT,"optional, can be null or zero",Salt kg/m3,~ OIL SAMPLE PROPERTIES,OAN
RVP.KPAA,"NUMB 8,2",REID VAPOUR PRESSURE,"optional, can be null or zero","Reid Vapour Pressure, kPaa",~ OIL SAMPLE PROPERTIES,OAN
CONRD.FRAC,"NUMB 8,2",CARBON RISIDUE CONRADSON FRACTION,"optional, can be null or zero","Carbon Risidue, mass fraction - Conradson",~ OIL SAMPLE PROPERTIES,OAN
RAMBT.FRAC,"NUMB 8,2",CARBON RISIDUE RAMSBOTTOM FRACTION,"optional, can be null or zero","Carbon Risidue, mass fraction - Ramsbottom",~ OIL SAMPLE PROPERTIES,OAN
PPTUSBM.DEGC,"NUMB 5,2",POUR POINT U.S.B.M. STANDARD DEGC,"optional, can be null, negative or zero",Pour Point U.S.B.M. standard - (Degrees Celsius),~ OIL SAMPLE PROPERTIES,OAN
PPTASTM.DEGC,"NUMB 5,2",POUR POINT A.S.T.M. STANDARD DEGC,"optional, can be null, negative or zero",Pour Point A.S.T.M. standard - (Degrees Celsius),~ OIL SAMPLE PROPERTIES,OAN
UT1.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 1,must be > 0,"Viscosity temperature point 1, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB1.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 1,must be > 0.00,"Absolute/Dynamic viscosity at point 1, mPa's",~ OIL VISCOSITY,OAN
UKIN1.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 1,must be > 0.00,"Kinematic viscosity at point 1, mm2/s",~ OIL VISCOSITY,OAN
UT2.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 2,"optional. if present, must be > 0. must be reported if established","Viscosity temperature point 2, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB2.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 2,"optional. if present, must be > 0.00. must be reported if established","Absolute/Dynamic viscosity at point 2, mPa's",~ OIL VISCOSITY,OAN
UKIN2.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 2,"optional. if present, must be > 0.00. must be reported if established","Kinematic viscosity at point 2, mm2/s",~ OIL VISCOSITY,OAN
UT3.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 3,"optional. if present, must be > 0. must be reported if established","Viscosity temperature point 3, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB3.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 3,"optional. if present, must be > 0.00. must be reported if established","Absolute/Dynamic viscosity at point 3, mPa's",~ OIL VISCOSITY,OAN
UKIN3.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 3,"optional. if present, must be > 0.00. must be reported if established","Kinematic viscosity at point 3, mm2/s",~ OIL VISCOSITY,OAN
UT4.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 4,"optional. if present, must be > 0. must be reported if established","Viscosity temperature point 4, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB4.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 4,"optional. if present, must be > 0.00. must be reported if established","Absolute/Dynamic viscosity at point 4, mPa's",~ OIL VISCOSITY,OAN
UKIN4.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 4,"optional. if present, must be > 0.00. must be reported if established","Kinematic viscosity at point 4, mm2/s",~ OIL VISCOSITY,OAN
UT5.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 5,"optional. if present, must be > 0. must be reported if established","Viscosity temperature point 5, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB5.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 5,"optional. if present, must be > 0.00. must be reported if established","Absolute/Dynamic viscosity at point 5, mPa's",~ OIL VISCOSITY,OAN
UKIN5.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 5,"optional. if present, must be > 0.00. must be reported if established","Kinematic viscosity at point 5, mm2/s",~ OIL VISCOSITY,OAN
UT6.DEGC,NUMB 2,VISCOSITY TEMPERATURE POINT 6,"optional. if present, must be > 0. must be reported if established","Viscosity temperature at point 6, (Degrees Celsius)",~ OIL VISCOSITY,OAN
UAB6.MPA'S,"NUMB 11,3",ABSOLUTE/DYNAMIC VISCOSITY AT POINT 6,"optional. if present, must be > 0.00. must be reported if established","Absolute/Dynamic viscosity at point 6, mPa's",~ OIL VISCOSITY,OAN
UKIN6.MM2/S,"NUMB 11,3",KINEMATIC VISCOSITY AT POINT 6,"optional. if present, must be > 0.00. must be reported if established","Kinematic viscosity at point 6, mm2/s",~ OIL VISCOSITY,OAN
IBP.DEGC,"NUMB 5,2",INITIAL BOILING POINT TEMPERATURE,"optional, must be reported if established","Initial boiling point temperature, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL1.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 1,"optional, must be reported if established",Distillation volume fraction 1,~ OIL DISTILLATION,OAN
DTP1.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 1,"optional, must be reported if established","Distillation volume temperature 1, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL2.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 2,"optional, must be reported if established",Distillation volume fraction 2,~ OIL DISTILLATION,OAN
DTP2.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 2,"optional, must be reported if established","Distillation volume temperature 2, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL3.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 3,"optional, must be reported if established",Distillation volume fraction 3,~ OIL DISTILLATION,OAN
DTP3.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 3,"optional, must be reported if established","Distillation volume temperature 3, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL4.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 4,"optional, must be reported if established",Distillation volume fraction 4,~ OIL DISTILLATION,OAN
DTP4.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 4,"optional, must be reported if established","Distillation volume temperature 4, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL5.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 5,"optional, must be reported if established",Distillation volume fraction 5,~ OIL DISTILLATION,OAN
DTP5.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 5,"optional, must be reported if established","Distillation volume temperature 5, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL6.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 6,"optional, must be reported if established",Distillation volume fraction 6,~ OIL DISTILLATION,OAN
DTP6.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 6,"optional, must be reported if established","Distillation volume temperature 6, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL7.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 7,"optional, must be reported if established",Distillation volume fraction 7,~ OIL DISTILLATION,OAN
DTP7.DEGC,"NUMB 5,2",VOLUME TEMPERATURE POINT 7,"optional, must be reported if established","Distillation volume temperature 7, (Degrees Celsius)",~ OIL DISTILLATION,OAN
DVL8.FRAC,"NUMB 4,2",VOLUME FRACTION POINT 8,"optional, must be reported if established",Distillation volume fraction 8,~ OIL DISTILLATION,OAN
